"state","puma12","county14","stab","cntyname2","PUMAname","pop10","afact"
"51","51090","51003","VA","Albemarle VA","Thomas Jefferson Planning District Commission (North)",62033,0.501 
"51","51090","51079","VA","Greene VA","Thomas Jefferson Planning District Commission (North)",18403,0.149 
"51","51090","51540","VA","Charlottesville city VA","Thomas Jefferson Planning District Commission (North)",43475,0.351 
"51","51095","51009","VA","Amherst VA","Virginias Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City",32353,0.265 
"51","51095","51011","VA","Appomattox VA","Virginias Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City",14973,0.123 
"51","51095","51019","VA","Bedford VA (R)","Virginias Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City",74898,0.613 
"51","51096","51031","VA","Campbell VA","Virginias Region 2000 (South)--Campbell County & Lynchburg City",54842,0.421 
"51","51096","51680","VA","Lynchburg city VA","Virginias Region 2000 (South)--Campbell County & Lynchburg City",75568,0.579 
"51","51097","51089","VA","Henry VA","West Piedmont Planning District Commission",54151,0.281 
"51","51097","51141","VA","Patrick VA","West Piedmont Planning District Commission",18490,0.096 
"51","51097","51143","VA","Pittsylvania VA","West Piedmont Planning District Commission",63506,0.329 
"51","51097","51590","VA","Danville city VA","West Piedmont Planning District Commission",43055,0.223 
"51","51097","51690","VA","Martinsville city VA","West Piedmont Planning District Commission",13821,0.072 
"51","51105","51007","VA","Amelia VA","Southside Planning District Commission & Commonwealth Regional Council",12690,0.066 
"51","51105","51025","VA","Brunswick VA","Southside Planning District Commission & Commonwealth Regional Council",17434,0.091 
"51","51105","51029","VA","Buckingham VA","Southside Planning District Commission & Commonwealth Regional Council",17146,0.09 
"51","51105","51037","VA","Charlotte VA","Southside Planning District Commission & Commonwealth Regional Council",12586,0.066 
"51","51105","51049","VA","Cumberland VA","Southside Planning District Commission & Commonwealth Regional Council",10052,0.053 
"51","51105","51083","VA","Halifax VA","Southside Planning District Commission & Commonwealth Regional Council",36241,0.19 
"51","51105","51111","VA","Lunenburg VA","Southside Planning District Commission & Commonwealth Regional Council",12914,0.068 
"51","51105","51117","VA","Mecklenburg VA","Southside Planning District Commission & Commonwealth Regional Council",32727,0.171 
"51","51105","51135","VA","Nottoway VA","Southside Planning District Commission & Commonwealth Regional Council",15853,0.083 
"51","51105","51147","VA","Prince Edward VA","Southside Planning District Commission & Commonwealth Regional Council",23368,0.122 
"51","51110","51165","VA","Rockingham VA","Central Shenandoah Planning District Commission (Northeast)",76314,0.609 
"51","51110","51660","VA","Harrisonburg city VA","Central Shenandoah Planning District Commission (Northeast)",48914,0.391 
"51","51115","51179","VA","Stafford VA","George Washington Regional Commission (North)",128961,0.842 
"51","51115","51630","VA","Fredericksburg city VA","George Washington Regional Commission (North)",24286,0.158 
"51","51120","51033","VA","Caroline VA","George Washington Regional Commission (South)",28545,0.164 
"51","51120","51099","VA","King George VA","George Washington Regional Commission (South)",23584,0.135 
"51","51120","51177","VA","Spotsylvania VA","George Washington Regional Commission (South)",122397,0.701 
"51","51125","51001","VA","Accomack VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",33164,0.194 
"51","51125","51057","VA","Essex VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",11151,0.065 
"51","51125","51073","VA","Gloucester VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",36858,0.216 
"51","51125","51097","VA","King and Queen VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",6945,0.041 
"51","51125","51103","VA","Lancaster VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",11391,0.067 
"51","51125","51115","VA","Mathews VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",8978,0.053 
"51","51125","51119","VA","Middlesex VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",10959,0.064 
"51","51125","51131","VA","Northampton VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",12389,0.073 
"51","51125","51133","VA","Northumberland VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",12330,0.072 
"51","51125","51159","VA","Richmond VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",9254,0.054 
"51","51125","51193","VA","Westmoreland VA","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",17454,0.102 
"51","51135","51053","VA","Dinwiddie VA","Crater Planning District Commission",28001,0.161 
"51","51135","51081","VA","Greensville VA","Crater Planning District Commission",12243,0.071 
"51","51135","51149","VA","Prince George VA","Crater Planning District Commission",35725,0.206 
"51","51135","51181","VA","Surry VA","Crater Planning District Commission",7058,0.041 
